Accession ID,Collection date,Submission date,Location
EPI_ISL_16917389,01/01/2023,14/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16917390,02/01/2023,14/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16917391,01/01/2023,14/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16917392,04/01/2023,14/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16917393,01/01/2023,14/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16917394,01/01/2023,14/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16917395,01/01/2023,14/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16917396,01/01/2023,14/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16917397,01/01/2023,14/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16917398,01/01/2023,14/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16917399,04/01/2023,14/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16917400,04/01/2023,14/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16917401,04/01/2023,14/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16917402,04/01/2023,14/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16917403,05/01/2023,14/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16917404,01/01/2023,14/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16917405,01/01/2023,14/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16917406,06/01/2023,14/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16917407,06/01/2023,14/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16917408,05/01/2023,14/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16917409,05/01/2023,14/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968211,09/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968212,09/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968213,09/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968214,09/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968215,09/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968216,09/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968217,09/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968218,09/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968219,09/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968220,09/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968221,11/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968222,11/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968223,11/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968224,11/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968225,11/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968226,11/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968227,11/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968228,12/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968229,13/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968230,13/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968231,13/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968232,13/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968233,13/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968234,13/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968235,16/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968236,16/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968237,16/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968238,16/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968239,16/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968240,16/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968241,17/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968242,18/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968243,18/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_16968244,18/01/2023,18/02/2023,South America / Brazil / Minas Gerais / Belo Horizonte
