Accession ID,Collection date,Submission date,Location
EPI_ISL_9747778,19/01/2022,10/02/2022,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_15818269,18/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Itueta
EPI_ISL_15855626,17/10/2022,22/11/2022,South America / Brazil / Minas Gerais
EPI_ISL_15818260,19/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15818259,19/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Pecanha
EPI_ISL_15818258,19/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Pecanha
EPI_ISL_9275031,07/01/2022,29/01/2022,South America / Brazil / Minas Gerais / Belo Horizonte
EPI_ISL_15818268,19/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Itueta
EPI_ISL_15818267,20/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Papagaios
EPI_ISL_15818266,20/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Papagaios
EPI_ISL_15818265,18/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Papagaios
EPI_ISL_15818264,19/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Papagaios
EPI_ISL_15818263,19/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Congonhas
EPI_ISL_15818262,19/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15818261,19/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15818257,19/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Muriae
EPI_ISL_15818256,18/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Sete Lagoas
EPI_ISL_15818255,18/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Muzambinho
EPI_ISL_15818254,16/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Cabo Verde
EPI_ISL_15818253,16/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Cabo Verde
EPI_ISL_15818252,17/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Lagoa Da Prata
EPI_ISL_15818251,17/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15818250,17/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15818249,16/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15818248,16/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Barbacena
EPI_ISL_15818247,15/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Felixlandia
EPI_ISL_15818246,16/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Joao Monlevade
EPI_ISL_15818245,16/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Joao Monlevade
EPI_ISL_15818244,13/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Guanhaes
EPI_ISL_15818243,14/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Guanhaes
EPI_ISL_15818242,15/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Arcos
EPI_ISL_15818241,15/07/2022,18/11/2022,South America / Brazil / Minas Gerais / Joao Monlevade
